path	ext	pages	words	fonts	unemb	verdict
words/batch-014/docx/SPA-11_mcar_part-11_v2.9.docx	docx	49/49	14034/13975	3/3	0	match
words/batch-014/docx/UG.CAO.00133 Foreign Part 145 approvals - Language.docx	docx	18/18	4007/3762	5/5	0	words
words/batch-014/docx/gpp-pr-top-7-office-markets-4q-2023.docx	docx	4/4	1101/1109	3/5	0	match
words/batch-014/docx/xx_SETIS_PWS_template_10.19.22.docx	docx	15/15	4432/4980	6/6	0	words
words/batch-015/doc/644730BRI0mna000BOX361539B00public0.doc	doc	5/5	2336/2339	7/7	0	match
words/batch-015/doc/A320SimNotes.doc	doc	40/42	15002/14999	6/10	0	pages
words/batch-015/doc/info-bulletin-601.doc	doc	5/6	1316/1320	5/5	0	pages
words/batch-015/docx/1603642410-MoM-CASCOM-06-2020-draft04.docx	docx	9/9	4604/4604	8/8	0	match
words/batch-015/docx/1_tpr_template__from_fy14_.docx	docx	9/8	3580/3581	10/10	0	pages
words/batch-015/docx/B11. TE.CAO.00129  Experience  logbook.docx	docx	7/6	1413/1276	6/6	0	pages,words
words/batch-015/docx/Regulations Governing the Status, Basic Rights and Duties of Officials other than Secretariat Officials, and Experts on Mission.docx	docx	18/18	6449/6453	4/5	0	match
words/batch-015/docx/approvals-and-standardisation-organisation-approvals-docs-part-145-annex-B-B11.-TE.CAO.00129-Foreign-Part-145-approvals---Experience--logbook.docx	docx	6/6	1190/1118	6/6	0	words
words/batch-015/docx/exhibit-06---technical-architecture-template.docx	docx	8/8	1105/1094	11/12	0	match
words/batch-015/docx/hdss-bulletin-issue-285-25-june-2025.docx	docx	10/10	3650/3592	7/7	0	match
words/batch-016/doc/150_5300_13_chg8.doc	doc	20/18	8583/8573	6/8	0	pages
words/batch-016/doc/300502-Mecenat-Airbus-Simusante_CHU-Amiens-Picardie.doc	doc	1/1	338/337	3/4	0	match
words/batch-016/doc/PK_FlugzeugeStricken.doc	doc	7/7	1441/1452	7/7	0	match
words/batch-016/doc/SFSP_2013-02_Bulletin.doc	doc	4/4	957/965	6/6	0	match
words/batch-016/doc/absrc-pac-01-info-note-en.doc	doc	6/7	1322/1326	4/5	0	pages
words/batch-016/docx/231164_SystemDesignDocument.docx	docx	28/28	6738/6709	6/6	0	match
words/batch-016/docx/AFS-050-004-F2_0i.docx	docx	8/8	2383/2384	9/9	0	match
words/batch-016/docx/JEMIT_Template.docx	docx	4/4	1705/1697	10/10	0	match
words/batch-016/docx/TE.CAO.00125 Foreign Part 145 approvals - OJT Logbook.docx	docx	15/15	3056/3177	6/6	0	words
words/batch-016/docx/fleetfastfacts16nov2023.docx	docx	1/1	129/129	6/5	0	match
words/batch-017/doc/2013_11.doc	doc	8/8	2629/2635	8/9	0	match
words/batch-017/doc/762.doc	doc	22/23	4144/4146	8/8	0	pages
words/batch-017/docx/03_Technical_Report_(progress)_template.docx	docx	10/10	1433/1430	6/6	0	match
words/batch-017/docx/AWR OPS-AOC 044 Statement of Compliance RVSM  Rev 04 01 Feb 2024.docx	docx	12/15	2211/2259	7/6	0	pages,words
words/batch-017/docx/Agile_Arc_SysDes.docx	docx	20/20	5790/5822	11/11	0	match
words/batch-017/docx/May 25 bulletin focus on carers in the workplace.docx	docx	4/4	457/538	3/3	0	words
words/batch-017/docx/PI-doc.-no.-2E-Technical-Review-Report.docx	docx	12/12	1917/1942	9/8	0	match
words/batch-017/docx/Sample_SQMS_Program.docx	docx	61/61	16382/16252	8/9	0	match
words/batch-017/docx/UG.CAO.00006 Foreign Part 145 approvals - User Guide for Applicants & Approval Holders.docx	docx	30/29	8251/7552	9/9	0	pages,words
words/batch-017/docx/system_design__technical_architecture_template.docx	docx	17/17	1791/1789	6/6	0	match
words/batch-018/doc/120509coss.doc	doc	25/25	7228/7228	7/7	0	match
words/batch-018/doc/A_320.doc	doc	141/118	19166/19004	4/4	0	pages
words/batch-018/docx/Allegiant_Company_Profile_with_History.docx	docx	3/3	1156/1156	3/3	0	match
words/batch-018/docx/DOA_Template_Form_Type_Certification_Programme.docx	docx	20/20	5461/5444	5/5	0	match
words/batch-018/docx/ESPN-R - MCF - Manual - Ed1.0 - For Publication.docx	docx	34/35	9564/9507	5/6	0	pages
words/batch-018/docx/FRE-03_mcar_part-3_and_IS_v2.9.docx	docx	77/76	25861/25787	2/4	0	pages
words/batch-018/docx/HC-Bulletin-template.docx	docx	5/5	521/524	7/7	0	match
words/batch-018/docx/SPA-06_mcar_part-6_and_IS_v2.9.docx	docx	85/85	27408/27435	3/5	0	match
words/batch-018/docx/airbus-pdf-information-package_v1-4.docx	docx	9/9	1320/1342	7/7	0	match
words/batch-018/docx/t_TEMPforInvProgs.docx	docx	26/26	5031/5072	5/6	0	match
words/batch-019/doc/150_5335_5a.doc	doc	63/64	19404/19276	8/9	0	pages
words/batch-019/docx/02_mcar_part-2_and_IS_v2.10.docx	docx	315/312	81277/81108	4/4	0	pages
words/batch-019/docx/24-25_FAA_Holdover_Tables.docx	docx	142/155	70930/71199	9/9	0	pages
words/batch-019/docx/33004.docx	docx	48/47	12248/12141	14/15	0	pages
words/batch-019/docx/CRIF - Sp̩cification technique - Socle applicatif.docx	docx	33/29	6644/7068	9/10	0	pages,words
words/batch-019/docx/ESPN-R - MCF - RA - Ed1.docx	docx	59/58	12300/12289	8/8	0	pages
words/batch-019/docx/PES-Technical-Report-Template_Jan_2019.docx	docx	14/14	2739/2738	8/8	0	match
words/batch-019/docx/SPA-02_mcar_part-2_and_IS_v2.9.docx	docx	267/266	95039/94848	4/4	0	pages
words/batch-019/docx/dragon1-enterprise-architecture-document-example-v0.1d.docx	docx	13/13	1670/1653	8/9	0	match
words/batch-019/docx/report-template.docx	docx	19/20	2987/3033	4/4	0	pages
words/batch-020/doc/150_5300_13_chg10.doc	doc	80/77	24197/23553	8/10	0	pages,words
words/batch-020/doc/150_5300_13_chg12.doc	doc	32/31	12763/12766	7/9	0	pages
words/batch-020/docx/150-5370-10H.docx	docx	714/727	298839/298716	12/14	0	pages
words/batch-020/docx/ABCD-FE-01-00 Flight Envelope - v1 08.03.16.docx	docx	14/15	3985/3773	6/5	0	pages,words
words/batch-020/docx/ABCD-WB-08-00 Weight and Balance Report - v1 08.03.16.docx	docx	12/12	2770/2652	7/6	0	words
words/batch-020/docx/AC-150-5370-10G-updated-201604.docx	docx	687/696	285333/285185	11/12	0	pages
words/batch-020/docx/Annex-10-to-the-Aircraft-Maintenance-Specialist-Certification-Rule-GCAA.docx	docx	148/148	35311/35311	4/5	0	match
words/batch-020/docx/EHEST-SMS-Safety-Management-Manual-V2.docx	docx	80/82	19629/19670	6/8	0	pages
words/batch-020/docx/FAA 2025-26 Holdover Tables.docx	docx	154/167	79223/79447	10/10	0	pages
words/batch-020/docx/OM template for non-complex NCC operators_August 2016.docx	docx	164/165	52437/52697	8/8	0	pages
words/batch-021/docx/ABCD-SDE-23-00 - Avionic System Description - 17.02.16 - v1.docx	docx	29/29	8923/8548	10/8	0	words
words/batch-021/docx/docs-quality-MA.IMS.00001-Integrated-Management-System-manual.docx	docx	43/44	12370/12567	6/6	0	pages
