path	ext	tables	rows	disagreeing_edges	nil_under_border
words/done-005/docx/2024-12_Comlux_opens_Maintenance_and_Service_Center_in_Dubai.docx	docx	0	0	0	0
words/done-005/doc/316r_a_e.doc	doc	-1	-1	-1	-1
words/done-005/doc/Theft-Restitution-Letter-Vancouver-ASC-2005.doc	doc	-1	-1	-1	-1
words/done-005/docx/part-147_approval list_20230119.docx	docx	1	71	10	10
words/done-005/docx/Technical Report and Technical Update Guidelines.docx	docx	0	0	0	0
words/done-005/docx/BID_ACKNOWLEDGEMENT_FORM_FOR_A320.docx	docx	1	6	0	0
words/done-005/doc/loi_format_letter_of_intent-a-320-214-a330.doc	doc	-1	-1	-1	-1
words/done-005/docx/f445896eb008d14c1746fc37d412dc22.docx	docx	1	30	0	0
words/done-006/docx/SDL_FSDO_Part91_LOA_Checklist.docx	docx	4	28	0	0
words/done-006/docx/healthcare-reform-nsa-provider-bulletin.docx	docx	0	0	0	0
words/done-006/doc/LHD-230-application-for-the-approval-of-an-aircraftr.doc	doc	-1	-1	-1	-1
words/done-006/doc/003.doc	doc	-1	-1	-1	-1
words/done-006/doc/P200904290238_0238_51880.doc	doc	-1	-1	-1	-1
words/done-006/docx/technical-memo-format.docx	docx	0	0	0	0
words/done-006/docx/cacs-206-1751218225.docx	docx	1	60	0	0
words/done-006/docx/62599_FRANCE-BRAZIL- Air France Flight 447 crash.docx	docx	0	0	0	0
words/done-006/doc/1244277 1 Comment.doc	doc	-1	-1	-1	-1
words/done-006/doc/Wales_Office_Quarter_4_Ministerial_Transparency_Return.DOC	doc	-1	-1	-1	-1
words/done-007/doc/RNW167A-150428.doc	doc	-1	-1	-1	-1
words/done-007/doc/congregationalhistories_ky_2023.doc	doc	-1	-1	-1	-1
words/done-007/docx/template-technical-report.docx	docx	1	6	0	0
words/done-007/docx/technical-report-template.docx	docx	4	12	5	5
words/done-007/docx/final-technical-report-template.docx	docx	1	8	0	0
words/done-007/docx/johnson_hall_service_log.pdf.docx	docx	1	4	1	1
words/done-007/doc/chapter 12.doc	doc	-1	-1	-1	-1
words/done-007/docx/Press release_EUREKA labels ITEA 3 Cluster.docx	docx	0	0	0	0
words/done-007/docx/0c662f5c948a7d81d32ffd833c5cc59421a5f522.docx	docx	1	1	0	0
words/done-007/docx/09.docx	docx	0	0	0	0
words/done-008/docx/FAA-2017-0628-0002_attachment_1.docx	docx	0	0	0	0
words/done-008/doc/2024-2nd-quarter-case-summaries.doc	doc	-1	-1	-1	-1
words/done-008/doc/PUR-0012-UTAS-GRAMS-SPA-Template-1-25-2024.doc	doc	-1	-1	-1	-1
words/done-008/docx/UAS-SGI_waiver_approval_request_form.docx	docx	7	47	0	0
words/done-008/doc/1245685 1 Comment.doc	doc	-1	-1	-1	-1
words/done-008/docx/ECSS-E-ST-50-16C-Annex-A(30September2021).docx	docx	5	55	20	20
words/done-008/docx/4400-91_Proposal_To_Lease_Space_10-2024.docx	docx	4	46	0	0
words/done-008/docx/draft-variation-notice-airbus-bm3965ia-v006-vs-comments.docx	docx	11	91	27	27
words/done-008/doc/FlightLaws.doc	doc	-1	-1	-1	-1
words/done-008/docx/Lessons-Learned-Bulletin-Dorset-version-to-IIRG-V5.docx	docx	1	2	0	0
words/done-009/docx/Contract_Check_Pilot_Sample_LOA.docx	docx	1	1	0	0
words/done-009/docx/Case-Study-Heathrow-Airport.docx	docx	1	13	1	1
words/done-009/doc/2013-op12-Annex III - Curriculum Vitae.doc	doc	-1	-1	-1	-1
words/done-009/docx/SWDD-template.docx	docx	0	0	0	0
words/done-009/doc/certification-flight-standards-doc-oeb-supporting-documents-tgl-TGL26-section-5-REV10.doc	doc	-1	-1	-1	-1
words/done-009/doc/A380MaenPressRel.doc	doc	-1	-1	-1	-1
words/done-009/docx/form_1123_application_form_rvsm_spa.docx	docx	7	43	4	4
words/done-009/doc/237287_0486190101_0486190101_geolink2neu.doc	doc	-1	-1	-1	-1
words/done-009/doc/CP-ETSO template_v2020.DOC	doc	-1	-1	-1	-1
words/done-009/docx/technical report template.docx	docx	0	0	0	0
words/done-010/docx/te.iors.00048-002 SUP Questionnaire.docx	docx	8	57	0	0
words/done-010/docx/195584360.docx	docx	31	235	0	0
words/done-010/doc/361400CSLegislation1RF01PUBLIC1.doc	doc	-1	-1	-1	-1
words/done-010/docx/5709.16 ch.40_mgfinal.docx	docx	4	19	2	2
words/done-010/docx/PM-apeech-Handover-of-New-Airbus-Aircraft-for-Fiji-Airways-Dec.-15th.docx	docx	0	0	0	0
words/done-010/docx/Writing a technical report (SCE subject guide).docx	docx	0	0	0	0
words/done-010/docx/Checklist for TC STC ETSO data packages to FAA_TIP rev 5.docx	docx	5	49	4	4
words/done-010/doc/f111.doc	doc	-1	-1	-1	-1
words/done-010/docx/FG-AI4NDM-TR-skeleton_template.docx	docx	8	30	1	1
words/done-010/doc/1528364855.doc	doc	-1	-1	-1	-1
words/done-011/docx/f2_registro_de_aprovacao_com_pbcs_EN.docx	docx	2	20	0	0
words/done-011/doc/135.doc	doc	-1	-1	-1	-1
words/done-011/docx/tibs_guidelines_2.docx	docx	3	14	0	0
words/done-011/docx/part-145-approval list 2025.docx	docx	1	125	5	5
words/done-011/docx/part-145-approval list (1).docx	docx	1	108	5	5
words/done-011/docx/eTAR_External_Web_tool_Tip_Sheet_mh.docx	docx	0	0	0	0
words/done-011/docx/b053-19.docx	docx	0	0	0	0
words/done-011/doc/AAC-AD-No-2021-01-Boeing-737-8-and-737-9-MAX.doc	doc	-1	-1	-1	-1
words/done-011/docx/Company-profile-2022-EN.docx	docx	0	0	0	0
words/done-011/docx/monthly-content-feeder.docx	docx	2	22	52	52
words/done-012/docx/19-06 Assistive Technology TAB Final - 508.docx	docx	0	0	0	0
words/done-012/doc/AirbusCallouts.doc	doc	-1	-1	-1	-1
words/done-012/docx/technical-architecture.docx	docx	3	10	0	0
words/done-012/docx/slcc-architecture-uu-architecture.docx	docx	3	46	0	0
words/done-012/doc/RMI_Document_Repository_Public-Reprts_GettingOffOil.doc	doc	-1	-1	-1	-1
words/done-012/docx/Leadership Information Article.docx	docx	0	0	0	0
words/done-012/docx/20110608_psp.docx	docx	1	1	0	0
words/done-012/docx/b050-19.docx	docx	0	0	0	0
words/done-012/docx/bulletin.docx	docx	2	2	0	0
words/done-012/docx/FO.FCTOA_.000129 Application for activities related to FSTD.docx	docx	8	130	34	33
words/done-013/docx/Sol PJ14-03-04 Solution Contextual.docx	docx	5	6	0	0
words/done-013/docx/easa-regulations-update-20.docx	docx	0	0	0	0
words/done-013/doc/1257259179492_2007_TPPT_102_Supporting_Doc_2-434003080.doc	doc	-1	-1	-1	-1
words/done-013/docx/Form-SM-76A-_-CAR-OPS-2A-Instruments-and-Equipment-Compliance-Statement-_-11.docx	docx	3	59	20	20
words/done-013/docx/SPA-11_mcar_part-11_v2.9.docx	docx	2	80	19	14
words/done-013/doc/1228841571067_2009_TPPT_13__2007_TPPT_102__R-108535759.doc	doc	-1	-1	-1	-1
words/done-013/doc/omrIMInterpretiveGuideLine.doc	doc	-1	-1	-1	-1
words/done-013/doc/Reid.doc	doc	-1	-1	-1	-1
words/done-013/docx/gpp-pr-top-7-office-markets-4q-2023.docx	docx	2	25	0	0
words/done-013/docx/hdss-bulletin-issue-285-25-june-2025.docx	docx	6	35	0	0
words/done-014/doc/644730BRI0mna000BOX361539B00public0.doc	doc	-1	-1	-1	-1
words/done-014/docx/exhibit-06---technical-architecture-template.docx	docx	6	13	0	0
words/done-014/docx/1603642410-MoM-CASCOM-06-2020-draft04.docx	docx	15	34	2	2
words/done-014/docx/1_tpr_template__from_fy14_.docx	docx	4	28	1	1
words/done-014/docx/Regulations Governing the Status, Basic Rights and Duties of Officials other than Secretariat Officials, and Experts on Mission.docx	docx	8	11	0	0
words/done-014/docx/AFS-050-004-F2_0i.docx	docx	6	130	87	87
words/done-014/docx/231164_SystemDesignDocument.docx	docx	5	21	0	0
words/done-014/doc/PK_FlugzeugeStricken.doc	doc	-1	-1	-1	-1
words/done-014/docx/fleetfastfacts16nov2023.docx	docx	2	17	0	0
words/done-014/doc/300502-Mecenat-Airbus-Simusante_CHU-Amiens-Picardie.doc	doc	-1	-1	-1	-1
words/done-015/doc/SFSP_2013-02_Bulletin.doc	doc	-1	-1	-1	-1
words/done-015/docx/JEMIT_Template.docx	docx	3	13	2	2
words/done-015/docx/system_design__technical_architecture_template.docx	docx	3	11	0	0
words/done-015/docx/PI-doc.-no.-2E-Technical-Review-Report.docx	docx	16	79	3	3
words/done-015/docx/Sample_SQMS_Program.docx	docx	6	143	0	0
words/done-015/docx/Agile_Arc_SysDes.docx	docx	8	39	0	0
words/done-015/doc/2013_11.doc	doc	-1	-1	-1	-1
words/done-015/docx/03_Technical_Report_(progress)_template.docx	docx	31	124	11	11
words/done-015/docx/DOA_Template_Form_Type_Certification_Programme.docx	docx	11	123	0	0
words/done-015/docx/airbus-pdf-information-package_v1-4.docx	docx	6	72	0	0
words/done-016/docx/Allegiant_Company_Profile_with_History.docx	docx	0	0	0	0
words/done-016/docx/HC-Bulletin-template.docx	docx	4	48	0	0
words/done-016/doc/120509coss.doc	doc	-1	-1	-1	-1
words/done-016/docx/t_TEMPforInvProgs.docx	docx	17	111	18	18
words/done-016/docx/SPA-06_mcar_part-6_and_IS_v2.9.docx	docx	8	583	8	5
words/done-016/docx/PES-Technical-Report-Template_Jan_2019.docx	docx	1	3	0	0
words/done-016/docx/dragon1-enterprise-architecture-document-example-v0.1d.docx	docx	3	10	0	0
words/done-016/doc/150_5335_5a.doc	doc	-1	-1	-1	-1
words/done-016/docx/Annex-10-to-the-Aircraft-Maintenance-Specialist-Certification-Rule-GCAA.docx	docx	148	3921	0	0
words/extra-001/docx/UG.CAO.00133 Foreign Part 145 approvals - Language.docx	docx	9	101	292	268
words/extra-001/doc/info-bulletin-601.doc	doc	-1	-1	-1	-1
words/extra-001/docx/UG.CAO.00006 Foreign Part 145 approvals - User Guide for Applicants & Approval Holders.docx	docx	7	27	9	9
words/extra-001/doc/762.doc	doc	-1	-1	-1	-1
words/extra-001/docx/ABCD-WB-08-00 Weight and Balance Report - v1 08.03.16.docx	docx	19	89	0	0
words/ceiling-001/docx/ABCD-FE-01-00 Flight Envelope - v1 08.03.16.docx	docx	24	114	20	20
words/extra-001/docx/ABCD-SDE-23-00 - Avionic System Description - 17.02.16 - v1.docx	docx	42	384	4	4
words/metrics-001/docx/review-welsh-government-communications-mister-peter-mandelson.docx	docx	2	69	123	123
words/metrics-001/doc/手机免提系统TSB.doc	doc	-1	-1	-1	-1
words/metrics-001/doc/A320SimNotes.doc	doc	-1	-1	-1	-1
words/metrics-001/docx/AWR OPS-AOC 044 Statement of Compliance RVSM  Rev 04 01 Feb 2024.docx	docx	22	144	3	3
words/metrics-001/docx/FRE-03_mcar_part-3_and_IS_v2.9.docx	docx	6	604	0	0
words/metrics-001/docx/SPA-02_mcar_part-2_and_IS_v2.9.docx	docx	3	305	1	0
words/metrics-001/docx/02_mcar_part-2_and_IS_v2.10.docx	docx	3	312	3	3
words/metrics-001/docx/OM template for non-complex NCC operators_August 2016.docx	docx	66	420	12	12
words/missing-001/docx/xx_SETIS_PWS_template_10.19.22.docx	docx	10	51	9	9
words/done-016/docx/TE.CAO.00125 Foreign Part 145 approvals - OJT Logbook.docx	docx	14	161	13	13
words/missing-001/docx/May 25 bulletin focus on carers in the workplace.docx	docx	10	10	0	0
words/missing-002/docx/CRIF - SpÃ©cification technique - Socle applicatif.docx	docx	6	51	4	4
words/missing-001/docx/33004.docx	docx	54	189	38	32
words/pagination-001/doc/1447.doc	doc	-1	-1	-1	-1
words/pagination-001/docx/template---tpr-technical-progress-report-with-guidance.docx	docx	4	26	16	16
words/pagination-001/docx/FO.FCTOA.00010 Application for a Part-ORA ATO Approval.docx	docx	21	277	38	38
words/pagination-002/doc/absrc-pac-01-info-note-en.doc	doc	-1	-1	-1	-1
words/pagination-001/docx/ESPN-R - MCF - Manual - Ed1.0 - For Publication.docx	docx	16	131	6	6
words/pagination-001/doc/A_320.doc	doc	-1	-1	-1	-1
words/pagination-001/docx/report-template.docx	docx	3	33	0	0
words/pagination-001/docx/ESPN-R - MCF - RA - Ed1.docx	docx	21	295	34	33
words/pagination-001/docx/24-25_FAA_Holdover_Tables.docx	docx	111	1358	7549	7525
words/pagination-001/docx/FAA 2025-26 Holdover Tables.docx	docx	123	1517	8422	8398
words/pagination-002/doc/150_5300_13_chg12.doc	doc	-1	-1	-1	-1
words/pagination-003/docx/EHEST-SMS-Safety-Management-Manual-V2.docx	docx	27	266	21	15
words/pagination-003/docx/150-5370-10H.docx	docx	147	1102	124	124
words/done-016/docx/AC-150-5370-10G-updated-201604.docx	docx	126	914	38	38
words/pagination-002/docx/docs-quality-MA.IMS.00001-Integrated-Management-System-manual.docx	docx	66	123	24	24
words/table-001/docx/A1. EASA Form 2.docx	docx	14	181	36	31
words/table-001/docx/approvals-and-standardisation-organisation-approvals-docs-part-145-annex-B-B11.-TE.CAO.00129-Foreign-Part-145-approvals---Experience--logbook.docx	docx	9	61	223	15
words/table-001/docx/B11. TE.CAO.00129  Experience  logbook.docx	docx	9	59	186	16
words/ceiling-001/doc/150_5300_13_chg8.doc	doc	-1	-1	-1	-1
words/table-001/doc/150_5300_13_chg10.doc	doc	-1	-1	-1	-1
words/chartset-001/docx/clustered-column-template.docx	docx	1	2	0	0
words/chartset-001/docx/clustered-column-result.docx	docx	1	7	0	0
words/chartset-001/docx/pie-chart-template.docx	docx	1	2	0	0
words/chartset-001/docx/026_advanced_word_chart_report.docx	docx	2	7	0	0
words/chartset-001/docx/032_advanced_word_chart_report.docx	docx	2	7	0	0
words/chartset-001/docx/002_advanced_word_chart_report.docx	docx	2	7	0	0
words/chartset-001/docx/008_advanced_word_chart_report.docx	docx	2	7	0	0
words/chartset-001/docx/014_advanced_word_chart_report.docx	docx	2	7	0	0
words/chartset-001/docx/020_advanced_word_chart_report.docx	docx	2	7	0	0
words/chartset-001/docx/pie-chart-result.docx	docx	1	7	0	0
words/chartset-002/docx/011_advanced_word_chart_report.docx	docx	2	7	0	0
words/chartset-002/docx/005_advanced_word_chart_report.docx	docx	2	7	0	0
words/chartset-002/docx/029_advanced_word_chart_report.docx	docx	2	7	0	0
words/chartset-002/docx/021_advanced_word_chart_report.docx	docx	2	7	0	0
words/chartset-002/docx/033_advanced_word_chart_report.docx	docx	2	7	0	0
words/chartset-002/docx/023_advanced_word_chart_report.docx	docx	2	7	0	0
words/chartset-002/docx/017_advanced_word_chart_report.docx	docx	2	7	0	0
words/chartset-002/docx/030_advanced_word_chart_report.docx	docx	2	7	0	0
words/chartset-002/docx/006_advanced_word_chart_report.docx	docx	2	7	0	0
words/chartset-002/docx/015_advanced_word_chart_report.docx	docx	2	7	0	0
words/chartset-003/docx/019_advanced_word_chart_report.docx	docx	2	7	0	0
words/chartset-003/docx/009_advanced_word_chart_report.docx	docx	2	7	0	0
words/chartset-003/docx/001_advanced_word_chart_report.docx	docx	2	7	0	0
words/chartset-003/docx/004_advanced_word_chart_report.docx	docx	2	7	0	0
words/chartset-003/docx/027_advanced_word_chart_report.docx	docx	2	7	0	0
words/chartset-003/docx/028_advanced_word_chart_report.docx	docx	2	7	0	0
words/chartset-003/docx/003_advanced_word_chart_report.docx	docx	2	7	0	0
words/chartset-003/docx/025_advanced_word_chart_report.docx	docx	2	7	0	0
words/chartset-003/docx/007_advanced_word_chart_report.docx	docx	2	7	0	0
words/chartset-003/docx/016_advanced_word_chart_report.docx	docx	2	7	0	0
words/chartset-004/docx/018_advanced_word_chart_report.docx	docx	2	7	0	0
words/chartset-004/docx/022_advanced_word_chart_report.docx	docx	2	7	0	0
words/chartset-004/docx/024_advanced_word_chart_report.docx	docx	2	7	0	0
words/chartset-004/docx/031_advanced_word_chart_report.docx	docx	2	7	0	0
words/chartset-004/docx/012_advanced_word_chart_report.docx	docx	2	7	0	0
words/chartset-004/docx/010_advanced_word_chart_report.docx	docx	2	7	0	0
words/chartset-004/docx/013_advanced_word_chart_report.docx	docx	2	7	0	0
words/chartset-005/docx/003_Free_Genogram_Diagram_Template_Easy_Format_60eb6e42.docx	docx	0	0	0	0
words/chartset-005/docx/005_Free_Genogram_Diagram_Template_Excellent_layout_f5f185d0.docx	docx	0	0	0	0
words/chartset-005/docx/036_Venn_Diagram_Template_Fillable_Layout_3ffbba36.docx	docx	0	0	0	0
words/chartset-005/docx/052_Organogram_Template_Colorful_Flow_Chart_cba9fbfe.docx	docx	0	0	0	0
words/chartset-005/docx/053_Organogram_Template_Creative_Theme_21657a3d.docx	docx	0	0	0	0
words/chartset-005/docx/054_Organogram_Template_Grey_Vertical_Theme_b2dbd9a8.docx	docx	0	0	0	0
words/chartset-005/docx/083_Printable_Graph_Paper_Template_Customizable_Format_55ff93a3.docx	docx	1	12	0	0
words/chartset-005/docx/084_Printable_Graph_Paper_Template_Editable_Layout_d66c6820.docx	docx	1	48	0	0
words/chartset-005/docx/085_Printable_Graph_Paper_Template_Excellent_Format_4bcae89a.docx	docx	1	48	0	0
words/chartset-005/docx/087_Printable_Graph_Paper_Template_Green_Theme_0c14ea04.docx	docx	1	48	0	0
words/chartset-006/docx/001_Free_Genogram_Diagram_Template_Blue_and_Gray_Theme_7c9e01a7.docx	docx	0	0	0	0
words/chartset-006/docx/002_Free_Genogram_Diagram_Template_Customizable_Format_2219584b.docx	docx	2	22	0	0
words/chartset-006/docx/033_Venn_Diagram_Template_Colored_Theme_2aea6697.docx	docx	0	0	0	0
words/chartset-006/docx/057_Organogram_Template_Vertical_Colorful_Theme_724b143c.docx	docx	0	0	0	0
words/chartset-006/docx/081_Printable_Graph_Paper_Template_Blue_Theme_629316cb.docx	docx	1	30	0	0
words/chartset-006/docx/086_Printable_Graph_Paper_Template_Gray_Theme_7300e5d7.docx	docx	1	6	0	0
words/chartset-006/docx/088_Printable_Graph_Paper_Template_Quality_layout_33051f6e.docx	docx	1	28	0	0
words/chartset-006/docx/093_Business_Case_Template_Customizable_Layout_510c25e7.docx	docx	1	22	4	4
words/chartset-006/docx/097_Business_Case_Template_Elegant_Layout_3ba9cbf2.docx	docx	6	19	0	0
words/chartset-006/docx/099_Business_Case_Template_Gray_Theme_ac3edbf4.docx	docx	1	23	0	0
words/chartset-007/docx/009_Free_Genogram_Diagram_Template_Handy_Format_4bb900f0.docx	docx	0	0	0	0
words/chartset-007/docx/018_Project_Timeline_Template_Editable_Format_e1cf1df5.docx	docx	1	21	0	0
words/chartset-007/docx/025_Unit_Circle_Chart_Cos_and_Sin_Model_1ed01892.docx	docx	0	0	0	0
words/chartset-007/docx/034_Venn_Diagram_Template_Customizable_Format_d14642b7.docx	docx	0	0	0	0
words/chartset-007/docx/049_Visual_Product_Roadmap_Template_Simple_Format_4af26e4f.docx	docx	1	22	72	72
words/chartset-007/docx/058_Organogram_Template_With_Picture_Theme_44b79368.docx	docx	0	0	0	0
words/chartset-007/docx/074_Storyboard_Template_Editable_Design_132436d1.docx	docx	0	0	0	0
words/chartset-007/docx/080_Printable_Graph_Paper_Template_Black_Theme_6b066be1.docx	docx	1	48	0	0
words/chartset-007/docx/089_Printable_Graph_Paper_Template_Simlpe_Format_3aff1c88.docx	docx	1	56	0	0
words/chartset-007/docx/094_Business_Case_Template_Decent_Layout_e7722f2b.docx	docx	1	20	0	0
words/chartset-008/docx/004_Free_Genogram_Diagram_Template_Editable_Format_b82b6152.docx	docx	0	0	0	0
words/chartset-008/docx/006_Free_Genogram_Diagram_Template_Fillable_Format_7ca08541.docx	docx	0	0	0	0
words/chartset-008/docx/010_Free_Genogram_Diagram_Template_Yellow_Theme_6ee4f818.docx	docx	2	20	0	0
words/chartset-008/docx/012_Project_Timeline_Template_Black_and_Brown_Theme_35c76550.docx	docx	1	9	0	0
words/chartset-008/docx/016_Project_Timeline_Template_Complete_Guide_7d36d09c.docx	docx	1	22	28	28
words/chartset-008/docx/035_Venn_Diagram_Template_Editable_Format_966dff5f.docx	docx	1	2	0	0
words/chartset-008/docx/046_Visual_Product_Roadmap_Template_Fillable_Format_582acab0.docx	docx	0	0	0	0
words/chartset-008/docx/092_Business_Case_Template_Convenient_Format_00786cce.docx	docx	7	41	0	0
words/chartset-008/docx/098_Business_Case_Template_Fillable_Layout_d0c5410e.docx	docx	1	17	0	0
words/chartset-008/docx/100_Business_Case_Template_Modern_Format_ff9e7282.docx	docx	6	10	0	0
words/chartset-009/docx/007_Free_Genogram_Diagram_Template_Green_and_Purple_Theme_8d2ba829.docx	docx	0	0	0	0
words/chartset-009/docx/017_Project_Timeline_Template_Customizable_Format_5d5ca2e8.docx	docx	1	31	0	0
words/chartset-009/docx/019_Project_Timeline_Template_Excellent_Layout_4ee62967.docx	docx	10	60	0	0
words/chartset-009/docx/027_Unit_Circle_Chart_Graphical_Chart_5462a579.docx	docx	0	0	0	0
words/chartset-009/docx/030_Unit_Circle_Chart_Points_System_23b5ef07.docx	docx	0	0	0	0
words/chartset-009/docx/037_Venn_Diagram_Template_Four_Circle_764829a0.docx	docx	0	0	0	0
words/chartset-009/docx/041_Visual_Product_Roadmap_Template_Blank_Format_63a3e010.docx	docx	1	27	1	1
words/chartset-009/docx/042_Visual_Product_Roadmap_Template_Colored_Background_89385cfb.docx	docx	1	25	20	20
words/chartset-009/docx/077_Storyboard_Template_Pink_and_Blue_Theme_805e82ab.docx	docx	0	0	0	0
words/chartset-009/docx/082_Printable_Graph_Paper_Template_Colored_Background_9092cf9b.docx	docx	1	48	0	0
words/chartset-010/docx/020_Project_Timeline_Template_Modern_Theme_0c215d87.docx	docx	1	14	12	12
words/chartset-010/docx/023_Unit_Circle_Chart_Circular_Percentage_790f7b75.docx	docx	0	0	0	0
words/chartset-010/docx/026_Unit_Circle_Chart_Four_Quadrants_09bf3ed1.docx	docx	0	0	0	0
words/chartset-010/docx/028_Unit_Circle_Chart_Optimized_Graph_83d9c756.docx	docx	0	0	0	0
words/chartset-010/docx/032_Venn_Diagram_Template_Brown_Theme_d5b549f0.docx	docx	0	0	0	0
words/chartset-010/docx/051_Organogram_Template_Basic_Theme_e6464d06.docx	docx	0	0	0	0
words/chartset-010/docx/056_Organogram_Template_Square_Theme_38f373d4.docx	docx	0	0	0	0
words/chartset-010/docx/066_Work_Breakdown_Structure_Template_Colored_Background_c27ff248.docx	docx	0	0	0	0
words/chartset-010/docx/067_Work_Breakdown_Structure_Template_Gray_Theme_89f8be8b.docx	docx	1	2	0	0
words/chartset-010/docx/090_Business_Case_Template_Blue_Theme_108ff0f1.docx	docx	2	13	0	0
words/chartset-011/docx/015_Project_Timeline_Template_Colored_Background_6434b0e8.docx	docx	1	14	0	0
words/chartset-011/docx/022_Unit_Circle_Chart_Circle_A_and_B_19dbf275.docx	docx	0	0	0	0
words/chartset-011/docx/029_Unit_Circle_Chart_Pie_Theme_8a922142.docx	docx	0	0	0	0
words/chartset-011/docx/039_Venn_Diagram_Template_Simple_Format_6f82661d.docx	docx	0	0	0	0
words/chartset-011/docx/040_Venn_Diagram_Template_Three_Circle_80f32f5e.docx	docx	0	0	0	0
words/chartset-011/docx/043_Visual_Product_Roadmap_Template_Customizable_Format_ee0fe5b1.docx	docx	8	40	0	0
words/chartset-011/docx/061_Nursing_Concept_Map_Template_fb9816f0.docx	docx	0	0	0	0
words/chartset-011/docx/064_Foot_Reflexology_Chart_Customizable_Format_79b7db06.docx	docx	0	0	0	0
words/chartset-011/docx/065_Work_Breakdown_Structure_Template_Blue_Theme_2b207f62.docx	docx	0	0	0	0
words/chartset-011/docx/068_Work_Breakdown_Structure_Template_Green_Theme_63e69ed8.docx	docx	0	0	0	0
words/chartset-012/docx/008_Free_Genogram_Diagram_Template_Green_and_Yellow_Theme_9017c1a8.docx	docx	2	20	0	0
words/chartset-012/docx/013_Project_Timeline_Template_Blue_Background_4ea3475e.docx	docx	1	26	12	12
words/chartset-012/docx/021_Unit_Circle_Chart_3D_Pie_Chart_404247ab.docx	docx	0	0	0	0
words/chartset-012/docx/024_Unit_Circle_Chart_Colorful_Circles_7c92601e.docx	docx	0	0	0	0
words/chartset-012/docx/031_Venn_Diagram_Template_Blue_Theme_a9e417b8.docx	docx	0	0	0	0
