identity	ext	track	path	npages	ink_sum	ink_per_page	ink_max_page	max_page_no	major_pages	note	max_page_hint	prior_mentions	prior_rounds
County ACHS Presentaion Webinar 8-16-16 Peg__pptx	pptx	slides	slides/done-012/pptx/County ACHS Presentaion Webinar 8-16-16 Peg.pptx	26	8.78	0.3377	1.05	15	2	ok	middle-centre: a fill or background shading we draw and the reference does not (1.30% of page, x 0.54-0.63, y 0.42-0.59)	2	slides-r51
PK_FlugzeugeStricken__doc	doc	words	words/done-014/doc/PK_FlugzeugeStricken.doc	7	8.78	1.2543	6.52	2	3	ok	the whole page: marks displaced or reshaped (57.37% of page, x 0.02-0.97, y 0.02-0.97)	1	dotnet
airports_6__xlsx	xlsx	sheets	sheets/done-008/xlsx/airports_6.xlsx	17	8.69	0.5112	3.05	17	1	ok	middle-centre: a solid area drawn differently (47.56% of page, x 0.08-0.89, y 0.08-0.67)	12	L6-sheets;dotnet;ods-resid-r80;sheets-rebase-02
FRE-03_mcar_part-3_and_IS_v2.9__docx	docx	words	words/metrics-001/docx/FRE-03_mcar_part-3_and_IS_v2.9.docx	76	8.52	0.1121	0.79	14	0	ok		8	rtf-htmautsp-r85;words-d-01;words-e1-01;words-ink-r67;words-metrics-01;words-rebase-01
SPA-06_mcar_part-6_and_IS_v2.9__docx	docx	words	words/done-016/docx/SPA-06_mcar_part-6_and_IS_v2.9.docx	85	8.25	0.0971	0.77	46	2	ok	top-centre: a fill or background shading the reference has and we do not (1.21% of page, x 0.07-0.95, y 0.18-0.19)	6	dotnet;words-firstpage-r70;words-ink-r67;words-r59;words-rebase-01
100_Lime_and_Lemon_Data-Driven_Chart_for_PowerPoint_d7bb4a44__pptx	pptx	slides	slides/chartset-008/pptx/100_Lime_and_Lemon_Data-Driven_Chart_for_PowerPoint_d7bb4a44.pptx	5	8.24	1.6480	2.79	1	4	ok	middle-left: the same marks in a different colour (7.90% of page, x 0.11-0.45, y 0.30-0.76)	0	
AFS-050-004-F2_0i__docx	docx	words	words/done-014/docx/AFS-050-004-F2_0i.docx	8	8.23	1.0288	3.31	8	2	ok	top-centre: ink missing from ours — a graphic, glyphs or a fill (14.48% of page, x 0.05-0.96, y 0.04-0.35)	60	L3-docx-reader;dotnet;odt-frame-r75;odt-split-r82;words-border-style;words-ink-r67
150_5300_13_chg12__doc	doc	words	words/pagination-002/doc/150_5300_13_chg12.doc	31	8.10	0.2613	1.85	25	1	ok	middle-centre: marks displaced or reshaped (15.55% of page, x 0.13-0.90, y 0.20-0.55)	46	L4-doc-legacy;chart-axisrot-r91;crop-wiring-01;dotnet;emptypage-01;fonts-r64
RRM-training-syllabus-Chapter-3-Teamwork-TC-Towing-Incident-Analysis-Dec-2009__ppt	ppt	slides	slides/ceiling-001/ppt/RRM-training-syllabus-Chapter-3-Teamwork-TC-Towing-Incident-Analysis-Dec-2009.ppt	27	8.06	0.2985	0.80	12	3	ok	middle-centre: ink we draw that the reference does not (0.74% of page, x 0.29-0.44, y 0.34-0.40)	1	user-review-slides-02
activespecs__xls	xls	sheets	sheets/done-015/xls/activespecs.xls	266	8.06	0.0303	0.21	175	0	ok		12	odf-rowpitch-r72;ods-band-r75;sheet-fill-r84;sheets-rebase-02;sheets-rest-01
order-of-worship-ppt-revised-2018__pptx	pptx	slides	slides/done-011/pptx/order-of-worship-ppt-revised-2018.pptx	28	8.01	0.2861	5.51	1	2	ok	middle-centre: ink missing from ours — a graphic, glyphs or a fill (14.42% of page, x 0.27-0.74, y 0.46-0.83)	4	dotnet
undp_presentation_revised_17_may__ppt	ppt	slides	slides/done-004/ppt/undp_presentation_revised_17_may.ppt	22	7.98	0.3627	3.27	18	3	ok	middle-left: ink missing from ours — a graphic, glyphs or a fill (21.59% of page, x 0.04-0.58, y 0.41-0.90)	21	L5-slides;chart-3d-r110;chart-geom-r108;chart-smooth-r102;dotnet;gate-01
ECA Sinters__xls	xls	sheets	sheets/done-013/xls/ECA Sinters.xls	163	7.87	0.0483	1.11	156	2	ok	middle-centre: a fill or background shading the reference has and we do not (0.98% of page, x 0.50-0.58, y 0.34-0.45)	10	L6-sheets;dotnet;ods-track-r88;sheets-d-01;sheets-r25;sheets-r26
SLSA_Directory_031423__xlsx	xlsx	sheets	sheets/done-007/xlsx/SLSA_Directory_031423.xlsx	10	7.80	0.7800	1.29	2	7	ok	middle-left: ink we draw that the reference does not (2.19% of page, x 0.08-0.20, y 0.04-0.91)	4	dotnet;sheets-b011-01;sheets-r31;words-r58
Wildlife for REDAC September 11__pptx	pptx	slides	slides/done-015/pptx/Wildlife for REDAC September 11.pptx	41	7.68	0.1873	2.69	13	4	ok	middle-right: ink we draw that the reference does not (4.27% of page, x 0.61-0.91, y 0.51-0.80)	26	dotnet;slides-b-01;slides-r39;slides-r53;slides-r59
33004__docx	docx	words	words/missing-001/docx/33004.docx	47	7.65	0.1628	0.47	41	1	ok		27	L3-docx-reader;dotnet;odt-page-r87;odt-split-r82;trailing-nbsp-wrap;words-d-01
762__doc	doc	words	words/extra-001/doc/762.doc	23	7.48	0.3252	2.36	8	8	ok	middle-centre: ink we draw that the reference does not (2.49% of page, x 0.13-0.89, y 0.63-0.67)	68	L5-slides;chart-slide-r117;colour-r65;dotnet;odp-chart-r72;ods-page-r77
SPA-11_mcar_part-11_v2.9__docx	docx	words	words/done-013/docx/SPA-11_mcar_part-11_v2.9.docx	49	7.45	0.1520	1.08	46	3	ok	middle-centre: marks displaced or reshaped (5.59% of page, x 0.23-0.90, y 0.34-0.46)	5	dotnet;rtf-resid-r80;words-ink-r67
ABCD-WB-08-00 Weight and Balance Report - v1 08.03.16__docx	docx	words	words/extra-001/docx/ABCD-WB-08-00 Weight and Balance Report - v1 08.03.16.docx	12	7.40	0.6167	3.71	12	3	ok	middle-centre: ink missing from ours — a graphic, glyphs or a fill (8.75% of page, x 0.07-0.94, y 0.55-0.70)	1	words-r53
PRM_training__pptx	pptx	slides	slides/done-013/pptx/PRM_training.pptx	22	7.35	0.3341	2.36	4	3	ok	middle-right: marks displaced or reshaped (19.56% of page, x 0.69-1.00, y 0.03-0.90)	4	dotnet;font-class-01;slides-r50;slides-r55
FAA_Form_337__ppt	ppt	slides	slides/done-013/ppt/FAA_Form_337.ppt	67	7.32	0.1093	1.92	32	4	ok	bottom-centre: marks displaced or reshaped (6.71% of page, x 0.10-0.88, y 0.61-0.77)	23	L5-slides;dotnet;ink-pass-r92;o2-audit-r121;ppt-spacing-r115;slides-ink-r94
ESPN-R - MCF - RA - Ed1__docx	docx	words	words/pagination-001/docx/ESPN-R - MCF - RA - Ed1.docx	58	7.20	0.1241	1.01	4	13	ok	bottom-centre: a fill or background shading we draw and the reference does not (3.71% of page, x 0.09-0.91, y 0.71-0.76)	27	dotnet;odt-frame-r75;odt-page-r87;odt-split-r82;words-character-scale;words-d-01
part-145-approval list 2025__docx	docx	words	words/done-011/docx/part-145-approval list 2025.docx	7	7.08	1.0114	1.45	2	4	ok	middle-centre: ink we draw that the reference does not (1.78% of page, x 0.02-0.96, y 0.50-0.52)	3	dotnet;words-r54
2014BSA_Sunday_Killion__pptx	pptx	slides	slides/done-013/pptx/2014BSA_Sunday_Killion.pptx	50	6.89	0.1378	0.54	21	1	ok		26	dotnet;slides-r52;slides-r55;slides-r56;tooling-01;user-review-slides-02
May 25 bulletin focus on carers in the workplace__docx	docx	words	words/missing-001/docx/May 25 bulletin focus on carers in the workplace.docx	4	6.80	1.7000	3.87	3	3	ok	middle-centre: the same marks in a different colour (19.83% of page, x 0.13-0.93, y 0.18-0.49)	8	L1-text-metrics;nested-table-slice;odt-frame-r75;words-missing-01;words-pages-01;words-r44
ws_prod-g-doc-Events-industrymeeting18112004-European-Safety-Strategy-Initiative__ppt	ppt	slides	slides/done-004/ppt/ws_prod-g-doc-Events-industrymeeting18112004-European-Safety-Strategy-Initiative.ppt	10	6.75	0.6750	3.45	8	3	ok	middle-right: marks displaced or reshaped (29.11% of page, x 0.39-0.98, y 0.24-0.93)	2	slides-r97;user-review-slides-02
195584360__docx	docx	words	words/done-010/docx/195584360.docx	20	6.67	0.3335	1.53	14	4	ok	bottom-centre: ink missing from ours — a graphic, glyphs or a fill (2.38% of page, x 0.10-0.93, y 0.77-0.81)	15	L3-docx-reader;dotnet;font-class-01;rtf-resid-r80;trailing-nbsp-wrap;words-border-style
pods05__ppt	ppt	slides	slides/done-005/ppt/pods05.ppt	60	6.51	0.1085	1.27	14	3	ok		17	dotnet;slide-table-r113;slides-arch-01;slides-bullet2-r112;slides-r107;slides-r52
NAS-Infrastructure-Roadmaps-HSI__pptx	pptx	slides	slides/done-005/pptx/NAS-Infrastructure-Roadmaps-HSI.pptx	9	6.33	0.7033	3.44	5	2	ok	the whole page: marks displaced or reshaped (40.07% of page, x 0.10-1.00, y 0.00-1.00)	4	dotnet;slides-r51
review-welsh-government-communications-mister-peter-mandelson__docx	docx	words	words/metrics-001/docx/review-welsh-government-communications-mister-peter-mandelson.docx	14	6.23	0.4450	2.41	14	5	ok	middle-centre: marks displaced or reshaped (27.83% of page, x 0.09-0.90, y 0.08-0.79)	6	dotnet;words-r56;words-r58;words-regress-01
G-InvoicingKeithJarboe__pptx	pptx	slides	slides/done-008/pptx/G-InvoicingKeithJarboe.pptx	13	6.17	0.4746	5.01	1	3	ok	the whole page: marks displaced or reshaped (14.51% of page, x 0.00-1.00, y 0.00-1.00)	2	L5-slides;slides-b-01
gillikin_online_user_mtg_2010__ppt	ppt	slides	slides/done-012/ppt/gillikin_online_user_mtg_2010.ppt	40	6.14	0.1535	1.22	8	1	ok		8	ppt-autofit-r84;slides-r103;slides-r108;slides-r97
Employment-Based_I-485__ppt	ppt	slides	slides/done-009/ppt/Employment-Based_I-485.ppt	42	6.09	0.1450	0.77	38	1	ok	bottom-right: a fill or background shading the reference has and we do not (0.64% of page, x 0.65-0.78, y 0.82-0.86)	9	L5-slides;slides-c-01;slides-paint-01;slides-r52;slides-r54;slides-r55
JesuitAssocOfStudentPersonnel__ppt	ppt	slides	slides/done-012/ppt/JesuitAssocOfStudentPersonnel.ppt	31	6.03	0.1945	3.25	9	1	ok	middle-centre: marks displaced or reshaped (22.48% of page, x 0.00-0.99, y 0.16-0.95)	14	dotnet;ppt-autofit-r84;slides-arch-01;slides-b-01;slides-r108;slides-r99
wells08_basic__ppt	ppt	slides	slides/done-001/ppt/wells08_basic.ppt	27	6.00	0.2222	1.27	26	1	ok	bottom-right: marks displaced or reshaped (3.16% of page, x 0.55-0.89, y 0.72-0.83)	5	dotnet;slides-r62
VOR Candidate Discontinuance List 2026-01-08__xlsx	xlsx	sheets	sheets/done-003/xlsx/VOR Candidate Discontinuance List 2026-01-08.xlsx	7	5.95	0.8500	1.98	3	3	ok	middle-centre: marks displaced or reshaped (4.64% of page, x 0.08-0.82, y 0.06-0.80)	0	
redac-nasops-201503-RIRP-portfolio-update__pptx	pptx	slides	slides/done-014/pptx/redac-nasops-201503-RIRP-portfolio-update.pptx	46	5.86	0.1274	0.87	41	1	ok		5	slides-paint-01;slides-r51;slides-r53;slides-sym-01
fy2010-aip-grants__xls	xls	sheets	sheets/done-013/xls/fy2010-aip-grants.xls	100	5.84	0.0584	0.18	5	0	ok		5	ods-band-r75;sheets-r26;sheets-r30;sheets-r31
ITE106-Chapter 4__ppt	ppt	slides	slides/done-005/ppt/ITE106-Chapter 4.ppt	47	5.76	0.1226	0.42	33	0	ok		35	dotnet;slides-paint-01;slides-r50;slides-r51;slides-r52;slides-r53
fy2011-aip-grants__xls	xls	sheets	sheets/done-013/xls/fy2011-aip-grants.xls	93	5.62	0.0604	0.14	44	0	ok		14	dotnet;gate-01;ods-band-r75;sheets-e-01;sheets-r30;sheets-r33
afn-afn-20250801-fy25-jan25-mar25__xlsx	xlsx	sheets	sheets/done-013/xlsx/afn-afn-20250801-fy25-jan25-mar25.xlsx	270	5.58	0.0207	0.34	219	0	ok		8	dotnet;ods-resid-r80;sheets-b011-01;sheets-rebase-01;sheets-rebase-02;words-r58
RPA P4 - Advanced Material__pptx	pptx	slides	slides/done-015/pptx/RPA P4 - Advanced Material.pptx	20	5.56	0.2780	2.70	3	2	ok	middle-centre: marks displaced or reshaped (21.68% of page, x 0.04-0.94, y 0.15-0.72)	12	chart-resid-r75;dotnet;o2-audit-r121;probes;sheets-r55;slides-chart-02
FIT26-Presentation-Airservices-Update__pptx	pptx	slides	slides/done-008/pptx/FIT26-Presentation-Airservices-Update.pptx	11	5.35	0.4864	1.49	4	2	ok	bottom-centre: marks displaced or reshaped (15.33% of page, x 0.16-0.88, y 0.38-1.00)	0	
Structural Testing__pptx	pptx	slides	slides/done-013/pptx/Structural Testing.pptx	89	5.30	0.0596	0.59	64	3	ok		14	dotnet;sheets-r55;slides-r52;slides-r54;slides-r55;slides-r56
021_Unit_Circle_Chart_3D_Pie_Chart_404247ab__docx	docx	words	words/chartset-012/docx/021_Unit_Circle_Chart_3D_Pie_Chart_404247ab.docx	1	5.18	5.1800	5.18	1	1	ok	middle-centre: ink missing from ours — a graphic, glyphs or a fill (15.76% of page, x 0.07-0.95, y 0.26-0.63)	1	chart-3d-r110
HENTZEN_COMPOSITE_MATERIALS_IN_THE_AEROSPACE_INDUSTRY__pptx	pptx	slides	slides/done-009/pptx/HENTZEN_COMPOSITE_MATERIALS_IN_THE_AEROSPACE_INDUSTRY.pptx	12	5.18	0.4317	2.02	4	3	ok	middle-centre: marks displaced or reshaped (16.04% of page, x 0.05-0.95, y 0.26-0.94)	2	dotnet
